id	target	response	HumanPartialFinal	question
313	Is stimulated by the axillary nerve	is stimmulated by the axillary reflex	0.5	The Deltoid Muscle
314	Is stimulated by the radial nerve	is stimulated by the radial reflex	0.5	The Triceps Muscle
315	Functions to extend the thigh at the hip	to EXTEND the UPPER LEG from the HIP	1	The Gluteus Maximus Muscle
316	Is stimulated by the femoral nerve	is STIMULATED by the FEMURAL NERVE	1	The Quadriceps Muscles
317	Functions to extend the foot at the ankle	is to FLEX the foot	0.5	The Gastrocnemius Muscle
318	Is stimulated by the tibial nerve	is STIMULATED by the TIBIAL NERVE	1	The Gastrocnemius Muscle
319	Functions to extend the thigh at the hip	IS TO EXTENd the thigh at the hip	1	The Gluteus Maximus Muscle
320	Is stimulated by the femoral nerve	is stimulated by th femural nerve	1	The Quadriceps Muscles
321	Functions to extend the foot at the ankle	is to extend the foot fron the ankle	1	The Gastrocnemius Muscle
322	Is stimulated by the tibial nerve	is stimulated by the tibial nerve	1	The Gastrocnemius Muscle
323	Functions to extend the thigh at the hip	is to extend the thigh from the hip	1	The Gluteus Maximus Muscle
324	Is stimulated by the femoral nerve	is stimulated by the femural nerve	1	The Quadriceps Muscles
325	Is stimulated by the tibial nerve	is stimulated by the tibial nerve	1	The Gastrocnemius Muscle
326	Functions to extend the foot at the ankle	is to flex the foot from the ankle	1	The Gastrocnemius Muscle
327	Functions to extend the thigh at the hip	is onthe back and side of the pelvis bone and is connected the pelvis and upper thigh	0	The Gluteus Maximus Muscle
328	Is stimulated by the femoral nerve	is stimulated by the femural nerve	1	The Quadriceps Muscles
329	Functions to extend the foot at the ankle	is to extend the foot from the ankle	1	The Gastrocnemius Muscle
330	Is stimulated by the axillary nerve	axial nerve	0.5	The Deltoid Muscle
331	Is stimulated by the radial nerve	radial nerve	0.5	The Triceps Muscle
332	Is stimulated by the axillary nerve	stimulated by axillary nerve	1	The Deltoid Muscle
333	Is stimulated by the radial nerve	stimulated by radial nerve	1	The Triceps Muscle
334	Is stimulated by the axillary nerve	axial nerve	0.5	The Deltoid Muscle
335	Is stimulated by the radial nerve	medial nerve	0	The Triceps Muscle
336	Is stimulated by the axillary nerve	axial nerve	0.5	The Deltoid Muscle
337	Is stimulated by the radial nerve	medial nerve	0	The Triceps Muscle
338	Functions to extend the thigh at the hip	empty	0	The Gluteus Maximus Muscle
339	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
340	Is stimulated by the tibial nerve	empty	0	The Gastrocnemius Muscle
341	Functions to extend the foot at the ankle	empty	0	The Gastrocnemius Muscle
342	Functions to extend the thigh at the hip	to extend the thigh at the hip	1	The Gluteus Maximus Muscle
343	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
344	Is stimulated by the tibial nerve	empty	0	The Gastrocnemius Muscle
345	Functions to extend the foot at the ankle	empty	0	The Gastrocnemius Muscle
346	Functions to extend the thigh at the hip	empty	0	The Gluteus Maximus Muscle
347	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
348	Is stimulated by the tibial nerve	to extend the foot at the ankle	0	The Gastrocnemius Muscle
349	Functions to extend the foot at the ankle	stimulated by the nerve	0	The Gastrocnemius Muscle
350	Functions to extend the thigh at the hip	empty	0	The Gluteus Maximus Muscle
351	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
352	Functions to extend the foot at the ankle	functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
353	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
354	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
355	Functions to extend the foot at the ankle	to extend the foot at the ankle	1	The Gastrocnemius Muscle
356	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
357	Functions to extend the foot at the ankle	to extend the foot at the ankle	1	The Gastrocnemius Muscle
358	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
359	Is stimulated by the axillary nerve	auxillary muscle	0.5	The Deltoid Muscle
360	Is stimulated by the radial nerve	radial bone	0	The Triceps Muscle
361	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
362	Is stimulated by the radial nerve	stimulated by radial bone	0.5	The Triceps Muscle
363	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
364	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
365	Is stimulated by the axillary nerve	stimulates the axillary nerver	1	The Deltoid Muscle
366	Is stimulated by the radial nerve	stimulates the radial nerve	1	The Triceps Muscle
367	Is stimulated by the radial nerve	stimulates the radial nerve	1	The Triceps Muscle
368	Functions to extend the thigh at the hip	functions to connect the upper thigh and hip	0.5	The Gluteus Maximus Muscle
369	Is stimulated by the femoral nerve	stimulated by femoral nerve	1	The Quadriceps Muscles
370	Functions to extend the foot at the ankle	functions to connect the lower leg to the heel	0	The Gastrocnemius Muscle
371	Is stimulated by the tibial nerve	stimulated by tibial nerve	1	The Gastrocnemius Muscle
372	Functions to extend the thigh at the hip	functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
373	Is stimulated by the femoral nerve	stimulated by the femoral nerver	1	The Quadriceps Muscles
374	Functions to extend the foot at the ankle	functions to 	0	The Gastrocnemius Muscle
375	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
376	Functions to extend the thigh at the hip	funtions to connect the pelvis to the hip	0	The Gluteus Maximus Muscle
377	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
378	Functions to extend the foot at the ankle	functions to extend the lower leg at the ankle	0.5	The Gastrocnemius Muscle
379	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
380	Functions to extend the thigh at the hip	functions to connect the hip and the pelvis	0	The Gluteus Maximus Muscle
381	Functions to extend the foot at the ankle	functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
382	Functions to extend the foot at the ankle	functions to extend the lower leg at the foot	0	The Gastrocnemius Muscle
383	Functions to extend the foot at the ankle	functions to extend the lower leg at the foot	0	The Gastrocnemius Muscle
384	Is stimulated by the axillary nerve	auxillary	0.5	The Deltoid Muscle
385	Is stimulated by the radial nerve	radial nerve	0.5	The Triceps Muscle
386	Is stimulated by the axillary nerve	stimulated by auxillary nerve	1	The Deltoid Muscle
387	Is stimulated by the radial nerve	stimulated by radial nerve	1	The Triceps Muscle
388	Is stimulated by the axillary nerve	stimulated by radial nerve	0	The Deltoid Muscle
389	Is stimulated by the radial nerve	stimulated by radial nerve	1	The Triceps Muscle
390	Is stimulated by the axillary nerve	stimulated by auxillary nerve	1	The Deltoid Muscle
391	Is stimulated by the radial nerve	stimulated by radial nerve	1	The Triceps Muscle
392	Functions to extend the thigh at the hip	functions to extend the thigh back at the hip	1	The Gluteus Maximus Muscle
393	Is stimulated by the femoral nerve	stimulated by femoral nerve	1	The Quadriceps Muscles
394	Is stimulated by the tibial nerve	stimulated by tibular nerve	0	The Gastrocnemius Muscle
395	Functions to extend the foot at the ankle	functions to extend the foot at the heel	0.5	The Gastrocnemius Muscle
396	Functions to extend the thigh at the hip	functions to extend the thigh back at the hip	1	The Gluteus Maximus Muscle
397	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
398	Functions to extend the foot at the ankle	functions to extend foot at the ankle	1	The Gastrocnemius Muscle
399	Is stimulated by the tibial nerve	stimulated by tibial nerve	1	The Gastrocnemius Muscle
400	Functions to extend the thigh at the hip	functions to extend the thigh back at the hip	1	The Gluteus Maximus Muscle
401	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
402	Functions to extend the foot at the ankle	functions to extend the food at the ankle	1	The Gastrocnemius Muscle
403	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
404	Functions to extend the foot at the ankle	functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
405	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
406	Is stimulated by the axillary nerve	stimulated by the auxillary nerve	1	The Deltoid Muscle
407	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
408	Is stimulated by the axillary nerve	connects the scapula to the humerus	0	The Deltoid Muscle
409	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
410	Is stimulated by the axillary nerve	stimulated by the auxillary nerve	1	The Deltoid Muscle
411	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
412	Functions to extend the thigh at the hip	extend the leg at the hip	0.5	The Gluteus Maximus Muscle
413	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
414	Is stimulated by the tibial nerve	stimulated by the not sure	0	The Gastrocnemius Muscle
415	Functions to extend the foot at the ankle	to extend the leg at the heel	0	The Gastrocnemius Muscle
416	Functions to extend the thigh at the hip	extend the thigh away from the pelvis	0.5	The Gluteus Maximus Muscle
417	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
418	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
419	Functions to extend the foot at the ankle	to extend the foot at the heel	0.5	The Gastrocnemius Muscle
420	Functions to extend the thigh at the hip	to extend the thigh away from the pelvis	0.5	The Gluteus Maximus Muscle
421	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
422	Functions to extend the foot at the ankle	to extend the foot at the ankle	1	The Gastrocnemius Muscle
423	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
424	Functions to extend the thigh at the hip	to extend the thigh away from the pelvis	0.5	The Gluteus Maximus Muscle
425	Functions to extend the foot at the ankle	to extend the foot from the ankle	1	The Gastrocnemius Muscle
426	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
427	Functions to extend the foot at the ankle	to extend the foot from the ankle	1	The Gastrocnemius Muscle
428	Is stimulated by the axillary nerve	Stimulated by the axillary nerve	1	The Deltoid Muscle
429	Is stimulated by the radial nerve	Stimulated by the radial nerve	1	The Triceps Muscle
430	Is stimulated by the axillary nerve	Stimulated by the axillary nerve	1	The Deltoid Muscle
431	Is stimulated by the radial nerve	Stimulated by the radial nerve	1	The Triceps Muscle
432	Is stimulated by the axillary nerve	Stimulated by the axillary nerve	1	The Deltoid Muscle
433	Is stimulated by the radial nerve	Stimulated by the radial nerve	1	The Triceps Muscle
434	Functions to extend the thigh at the hip	Functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
435	Is stimulated by the femoral nerve	Is stimulated by the femoral nerve	1	The Quadriceps Muscles
436	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle 	1	The Gastrocnemius Muscle
437	Is stimulated by the tibial nerve	Is stimulated by the tibial nerve 	1	The Gastrocnemius Muscle
438	Functions to extend the thigh at the hip	Functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
439	Is stimulated by the femoral nerve	Is stimulated by the femoral nerve 	1	The Quadriceps Muscles
440	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle 	1	The Gastrocnemius Muscle
441	Is stimulated by the tibial nerve	Is stimulated by the tibial nerve 	1	The Gastrocnemius Muscle
442	Functions to extend the thigh at the hip	Functions to extend the thigh at the hip 	1	The Gluteus Maximus Muscle
443	Is stimulated by the femoral nerve	Is stimulated by the femoral nerve 	1	The Quadriceps Muscles
444	Functions to extend the foot at the ankle	Functions to flex the foot at the ankle 	1	The Gastrocnemius Muscle
445	Is stimulated by the tibial nerve	Is stimulated by the tibial nerve 	1	The Gastrocnemius Muscle
446	Is stimulated by the axillary nerve	Auxillary nerve	0.5	The Deltoid Muscle
447	Is stimulated by the radial nerve	stimulated by the auxilary nerve	0	The Triceps Muscle
448	Is stimulated by the axillary nerve	Stimulated by the axillary nerve.	1	The Deltoid Muscle
449	Is stimulated by the radial nerve	Stimulated by the radial nerve.	1	The Triceps Muscle
450	Is stimulated by the axillary nerve	Stimulated by the axillary nerves.	1	The Deltoid Muscle
451	Is stimulated by the radial nerve	Stimulated by the radial nerve.	1	The Triceps Muscle
452	Is stimulated by the axillary nerve	Stimulated by the axillary nerve.	1	The Deltoid Muscle
453	Is stimulated by the radial nerve	Stimulated by the radial nerve.	1	The Triceps Muscle
